distanciaNumero;distanciaDescripcion;banderaId;lat;lng;sucursalNombre;id;sucursalTipo;provincia;direccion;banderaDescripcion;localidad;comercioRazonSocial;comercioId;sucursalId
1275.8223;1275.82 kilómetros;1;-24.671542;-65.045994;8017 - SALTA;15-1-8017;Autoservicio;AR-A;Cabred 23;Supermercados DIA;SALTA;DIA Argentina S.A;15;8017
1284.5832;1284.58 kilómetros;3;-24.7726;-65.4129;Jumbo Salta;9-3-5251;Hipermercado;AR-A;20 De Febrero 1437;Jumbo;SALTA;Jumbo Retail Argentina S.A.;9;5251
1191.8545;1191.85 kilómetros;1;-25.4987985;-64.9705319;8014 - METAN;15-1-8014;Autoservicio;AR-A;Jose Ignacio Sierra 126;Supermercados DIA;SALTA;DIA Argentina S.A;15;8014
1283.5601;1283.56 kilómetros;1;-24.7880714;-65.4219001;8013 - SALTA;15-1-8013;Autoservicio;AR-A;Brown None;Supermercados DIA;SALTA;DIA Argentina S.A;15;8013
1282.684;1282.68 kilómetros;1;-24.792053;-65.412395;801 - SALTA;15-1-801;Autoservicio;AR-A;Urquiza 680 ( Salta Capital) None;Supermercados DIA;SALTA;DIA Argentina S.A;15;801
21.2304;21.23 kilómetros;3;-34.788541;-58.522473;J. Hernandez 130;10-3-496;Autoservicio;AR-B;José Hernández 130;Express;Ezeiza;INC S.A.;10;496
19.8881;19.89 kilómetros;1;-34.665048;-58.662640;Ituzaingó II;10-1-294;Hipermercado;AR-B;Blas Parera 650;Hipermercado Carrefour;Ituzaingó;INC S.A.;10;294
15.5885;15.59 kilómetros;3;-34.720952;-58.363081;Eva Perón 3330;10-3-460;Autoservicio;AR-B;Eva Perón 3330;Express;Lanús;INC S.A.;10;460
21.8835;21.88 kilómetros;1;-34.7437163;-58.2891868;QUILMES ;12-1-104;Supermercado;AR-B;12 De Octubre 3054;COTO CICSA;Quilmes;Coto Centro Integral de Comercialización S.A.;12;104
162.8918;162.89 kilómetros;1;-34.066450;-60.104420;ARRECIFES;2-1-100;Supermercado;AR-B;Dr. Carlos Merlasino 524;La Anonima;Arrecifes;S.A. Importadora y Exportadora de la Patagonia;2;100
3.8951;3.90 kilómetros;3;-34.634333;-58.435797;Centenera 1282;10-3-572;Autoservicio;AR-C;Centenera 1282;Express;Ciudad Autónoma de Buenos Aires;INC S.A.;10;572
8.2839;8.28 kilómetros;1;-34.612999;-58.368742;586 - MONSERRAT;15-1-586;Autoservicio;AR-C;Av Paseo Colon 464 (Monserrat) None;Supermercados DIA;CAPITAL FEDERAL;DIA Argentina S.A;15;586
5.1175;5.12 kilómetros;2;-34.590140;-58.405533;Barrio Norte;10-2-206;Hipermercado;AR-C;Beruti 2951;Market;Ciudad Autónoma de Buenos Aires;INC S.A.;10;206
4.1896;4.19 kilómetros;3;-34.567072;-58.454065;Virrey del Pino 2527;10-3-674;Autoservicio;AR-C;Virrey Del Pino 2527;Express;Ciudad Autónoma de Buenos Aires;INC S.A.;10;674
7.2288;7.23 kilómetros;1;-34.6060306;-58.3796983;425 - MONSERRAT;15-1-425;Autoservicio;AR-C;Peron Tte. Gral. Juan Domingo 927 (San Nicolas) None;Supermercados DIA;CAPITAL FEDERAL;DIA Argentina S.A;15;425
668.3277;668.33 kilómetros;1;-32.732504;-65.287492;Tilisarao;17-1-285;Supermercado;AR-D;Doctor O. Frattaroli 350;Atomo;San Luis;Millan S.A.;17;285
743.3874;743.39 kilómetros;1;-33.287805;-66.315772;Riobamba;18-1-4;Supermercado;AR-D;Riobamba 1665;Super Aiello;San Luis;Aiello Supermercados S.A.;18;4
745.0026;745.00 kilómetros;1;-33.29304;-66.33493;SAN LUIS ESPAÑA;19-1-02848;Autoservicio;AR-D;Av. España Y Maipú 0;FULL;San Luis;Operadora de Estaciones de Servicios S.A.;19;02848
656.0478;656.05 kilómetros;1;-33.6806;-65.4640;Vea 36.;9-1-423;Supermercado;AR-D;Avenida Mitre 679;Vea;VILLA MERCEDES;Jumbo Retail Argentina S.A.;9;423
813.9058;813.91 kilómetros;1;-33.41254;-67.11750;DESAGUADERO;19-1-30977;Autoservicio;AR-D;Ruta Nacional 7 Km 862 (Ascen) 0;FULL;DESAGUADERO;Operadora de Estaciones de Servicios S.A.;19;30977
428.3818;428.38 kilómetros;1;-30.7625;-57.9939;Chajari;9-1-685;Supermercado;AR-E;Av. 9 De Julio E/ Mendoza Y Chaco 0;Vea;CHAJARI;Jumbo Retail Argentina S.A.;9;685
358.4348;358.43 kilómetros;1;-31.3951436;-58.0129175;1501 - CONCORDIA;15-1-1501;Autoservicio;AR-E;Cl San Juan 784;Supermercados DIA;ENTRE RIOS;DIA Argentina S.A;15;1501
353.8642;353.86 kilómetros;1;-31.660324;-59.914562;594 - MARIA GRANDE;15-1-594;Autoservicio;AR-E;Av Argentina 787;Supermercados DIA;ENTRE RIOS;DIA Argentina S.A;15;594
468.7403;468.74 kilómetros;1;-30.3861619;-58.7488256;553 - SAN JOSE DE FELICIANO;15-1-553;Autoservicio;AR-E;Rp2 149 ( O Calle San Martin) None;Supermercados DIA;ENTRE RIOS;DIA Argentina S.A;15;553
364.2292;364.23 kilómetros;1;-31.763742;-60.412963;443 - PARANA-ENTRE RIOS;15-1-443;Autoservicio;AR-E;Tte. Miguel Gimenez 2553 (Colonia Avelleneda) None;Supermercados DIA;ENTRE RIOS;DIA Argentina S.A;15;443
982.6499;982.65 kilómetros;1;-29.4295;-66.8541;La Rioja.;9-1-708;Supermercado;AR-F;Laprida Y Artigas 6811;Vea;LA RIOJA;Jumbo Retail Argentina S.A.;9;708
984.0949;984.09 kilómetros;2;-29.411481;-66.856755;La Rioja;10-2-135;Supermercado;AR-F;25 De Mayo 151;Market;La Rioja;INC S.A.;10;135
983.5433;983.54 kilómetros;1;-29.41439;-66.85222;LA RIOJA;19-1-02626;Autoservicio;AR-F;Av.Rivadavia Y Benj.De La Vega 0;FULL;La Rioja;Operadora de Estaciones de Servicios S.A.;19;02626
983.3954;983.40 kilómetros;2;-29.428056;-66.862434;La Rioja;11-2-1007;Hipermercado;AR-F;Ortiz De Ocampo 1127;Changomas;LA RIOJA;Wal Mart Argentina S.R.L.;11;1007
984.4787;984.48 kilómetros;1;-29.4018;-66.8531;La Rioja II;9-1-705;Supermercado;AR-F;Avenida Alem Leandro Niceforo 678;Vea;LA RIOJA;Jumbo Retail Argentina S.A.;9;705
935.3367;935.34 kilómetros;2;-27.828130;-64.270004;Santiago Sur;11-2-1080;Hipermercado;AR-G;Avenida Leopoldo Lugones Esq. Pedro Cont None;Changomas;SANTIAGO DEL ESTERO;Wal Mart Argentina S.R.L.;11;1080
939.1622;939.16 kilómetros;1;-27.7786;-64.2578;Santiago.;9-1-13;Hipermercado;AR-G;Av. Rivadavia Esq. Ejercito Argentino 0;Vea;SANTIAGO DEL ESTERO;Jumbo Retail Argentina S.A.;9;13
939.8023;939.80 kilómetros;1;-27.767976;-64.251963;Hipermercado Santiago del Estero;16-1-1002;Hipermercado;AR-G;Autopista Juan Domingo Perón None;Hipermercado Libertad;La Banda;Libertad S.A;16;1002
942.8251;942.83 kilómetros;1;-27.7298;-64.2436;La Banda;9-1-730;Supermercado;AR-G;25 De Mayo Y Chacabuco 0;Vea;SANTIAGO DEL ESTERO;Jumbo Retail Argentina S.A.;9;730
935.8594;935.86 kilómetros;2;-27.809677;-64.249649;Santiago;11-2-1012;Hipermercado;AR-G;Av Belgrano Sur 2663;Changomas;SANTIAGO DEL ESTERO;Wal Mart Argentina S.R.L.;11;1012
794.5751;794.58 kilómetros;1;-27.4551;-58.9913;Resistencia;9-1-674;Supermercado;AR-H;Avenida Alberdi Juan Bautista 528;Vea;RESISTENCIA;Jumbo Retail Argentina S.A.;9;674
887.6514;887.65 kilómetros;2;-26.791271;-60.452743;Roque Saenz Peña;11-2-1098;Hipermercado;AR-H;Avenida J. M. De Rosas 1298;Changomas;PRESIDENCIA ROQUE SAENZ PEÑA;Wal Mart Argentina S.R.L.;11;1098
796.3542;796.35 kilómetros;1;-27.438800;-58.987383;Resistencia II;10-1-44;Hipermercado;AR-H;Av. Ávalos None;Hipermercado Carrefour;Resistencia;INC S.A.;10;44
799.0588;799.06 kilómetros;1;-27.413327;-58.968677;Hipermercado Chaco;16-1-902;Hipermercado;AR-H;Ruta Nacional 16 Avda. Nicolás Avellaneda Y Dr. Sabín None;Hipermercado Libertad;Resisitencia;Libertad S.A;16;902
795.7141;795.71 kilómetros;5;-27.446553;-59.021331;Resistencia;11-5-1058;Hipermercado;AR-H;Avenida Marconi 2279;Walmart SuperCenter;RESISTENCIA;Wal Mart Argentina S.R.L.;11;1058
